AccidentUID,Unfalltyp,Unfallschwere,Fussgänger,Fahrrad,Motorrad,Strassentyp,Jahr,Monat,Wochentag,Stunde,Breitengrad,Längengrad,Datum
D042C5A2FE501761E053DDB9D80A6E6A,Abbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,6,Montag,17,47.40742273506782,9.30716362902842,2021-06-01
367BEAC445D3003CE0530A839427CF42,Einbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2016,6,Dienstag,13,47.43998212247405,9.410057037436275,2016-06-01
6E09E9041CC20072E0530A839427E1C4,Auffahrunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2018,4,Mittwoch,16,47.42341911671526,9.367923299836075,2018-04-01
6E96C3FC5BB701FCE0530A83942748F2,Einbiegeunfall,Unfall mit Schwerverletzten,False,True,False,Nebenstrasse,2018,4,Freitag,17,47.43629570321596,9.391369655560965,2018-04-01
6DE2B55430D901D6E0530A839427C868,Fussgängerunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,4,Freitag,17,47.41856938490345,9.36039074019723,2018-04-01
93D4638D6C3F6282E05329B9D80A27DC,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,False,False,Nebenstrasse,2019,9,Mittwoch,18,47.41187637553734,9.413178034778882,2019-09-01
C87B0B20CEA84704E053DDB9D80A27EA,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,False,True,Hauptstrasse,2021,7,Donnerstag,9,47.42900017447819,9.422484272227008,2021-07-01
C802F560A186354FE053DDB9D80AB584,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,False,False,Nebenstrasse,2021,7,Freitag,16,47.43312923662506,9.397193602682426,2021-07-01
98DCA840FA35DC1CE05329B9D80A9180,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2019,9,Freitag,16,47.41673758178618,9.321925076102124,2019-09-01
700673BB3EF101C4E0530A839427AEA4,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,5,Samstag,11,47.42776438766332,9.374391525249477,2018-05-01
371C6DBF879B0078E0530A8394276F5D,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2016,6,Freitag,17,47.40947071849148,9.332230726308174,2016-06-01
6E09E9041D3E0072E0530A839427E1C4,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,4,Sonntag,13,47.433291456662225,9.39079534399617,2018-04-01
7B1A9BFD79A9AD6AE05328B9D80A4DAB,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,True,False,Nebenstrasse,2018,5,Dienstag,15,47.40374104051858,9.339275635217541,2018-05-01
6DE260448DC502E0E0530A83942791A0,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,andere,2018,5,Dienstag,16,47.42852002605953,9.390978297189134,2018-05-01
6DE2B55415C301D6E0530A839427C868,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,False,False,False,Autobahn,2018,5,Mittwoch,6,47.426246571241116,9.355882024799554,2018-05-01
93DA2B216F332F82E05329B9D80AE64F,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2019,9,Freitag,11,47.43879518226602,9.417916456554991,2019-09-01
96B4BD98BBF8DF29E05328B9D80AEDDC,Auffahrunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2019,9,Freitag,15,47.42374603833675,9.383843333093028,2019-09-01
8BE7658A7268CA77E05328B9D80A7BD0,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2019,6,Donnerstag,17,47.40411938984647,9.305033461708462,2019-06-01
